"office","chamber","party","state","bioguide"
"Warner, Sen. Mark","Senate","Democrat","VA","W000805"
"Risch, Sen. Jim","Senate","Republican","ID","R000584"
"Shaheen, Sen. Jeanne","Senate","Democrat","NH","S001181"
"Hagan, Sen. Kay","Senate","Democrat","NC","H001049"
"Merkley, Sen. Jeff","Senate","Democrat","OR","M001176"
"Begich, Sen. Mark","Senate","Democrat","AK","B001265"
"Bennet, Sen. Michael","Senate","Democrat","CO","B001267"
"Quigley, Rep. Mike","House","Democrat","IL","Q000023"
"Franken, Sen. Al","Senate","Democrat","MN","F000457"
"Carson, Rep. Andr+","House",,,
"Owens, Rep. Bill","House","Democrat","NY","O000169"
"Graves, Rep. Tom","House","Republican","GA","G000560"
"Coons, Sen. Chris","Senate","Democrat","DE","C001088"
"Stutzman, Rep. Marlin","House","Republican","IN","S001188"
"Menndez, Sen. Bob","Senate",,,
"Reed, Rep. Tom","House","Republican","NY","R000585"
"Roby, Rep. Martha","House","Republican","AL","R000591"
"Quayle, Rep. Ben","House","Republican","AZ","Q000024"
"Schweikert, Rep. David","House","Republican","AZ","S001183"
"Griffin, Rep. Tim","House","Republican","AR","G000567"
"Womack, Rep. Steve","House","Republican","AR","W000809"
"Bass, Rep. Karen","House","Democrat","CA","B001270"
"Hastings, Rep. Doc","House",,,
"Tipton, Rep. Scott","House","Republican","CO","T000470"
"Southerland, Rep. Steve","House","Republican","FL","S001186"
"Hahn, Rep. Janice","House",,,
"Nugent, Rep. Richard","House","Republican","FL","N000185"
"Webster, Rep. Daniel A.","House","Republican","FL","W000806"
"Wilson, Rep. Frederica S.","House","Democrat","FL","W000808"
"West, Rep. Allen","House","Republican","FL","W000807"
"Adams, Rep. Sandy","House","Republican","FL","A000366"
"Rivera, Rep. David","House","Republican","FL","R000590"
"Woodall, Rep. Rob","House","Republican","GA","W000810"
"Scott, Rep. Austin","House","Republican","GA","S001189"
"Hanabusa, Rep. Colleen","House","Democrat","HI","H001050"
"Labrador, Rep. Raul","House","Republican","ID","L000573"
"Kinzinger, Rep. Adam","House","Republican","IL","K000378"
"Hultgren, Rep. Randy","House","Republican","IL","H001059"
"Schilling, Rep. Bobby","House","Republican","IL","S001182"
"Walsh, Rep. Joe","House","Republican","IL","W000811"
"Rokita, Rep. Todd","House","Republican","IN","R000592"
"Young, Rep. Todd Christopher","House","Republican","IN","Y000064"
"Huelskamp, Rep. Tim","House","Republican","KS","H001057"
"Yoder, Rep. Kevin W.","House","Republican","KS","Y000063"
"Vel+zquez, Rep. Nydia","House",,,
"Pompeo, Rep. Mike","House","Republican","KS","P000602"
"Richmond, Rep. Cedric L.","House","Democrat","LA","R000588"
"Landry, Rep. Jeff","House","Republican","LA","L000574"
"Harris, Rep. Andy","House","Republican","MD","H001052"
"Keating, Rep. Bill","House","Democrat","MA","K000375"
"Benishek, Rep. Dan","House","Republican","MI","B001271"
"Huizenga, Rep. Bill","House","Republican","MI","H001058"
"Amash, Rep. Justin A.","House","Republican","MI","A000367"
"Nunnelee, Rep. Alan","House","Republican","MS","N000186"
"Palazzo, Rep. Steven","House","Republican","MS","P000601"
"Hartzler, Rep. Vicky","House","Republican","MO","H001053"
"Long, Rep. Billy","House","Republican","MO","L000576"
"Heck, Rep. Joe","House","Republican","NV","H001055"
"Guinta, Rep. Frank C.","House","Republican","NH","G000570"
"Runyan, Rep. Jon","House","Republican","NJ","R000594"
"Grimm, Rep. Mike","House","Republican","NY","G000569"
"Hayworth, Rep. Nan","House","Republican","NY","H001054"
"Hanna, Rep. Richard L.","House","Republican","NY","H001051"
"Berg, Rep. Rick","House","Republican","ND","B001272"
"Johnson, Rep. Bill","House","Republican","OH","J000292"
"Stivers, Rep. Steve","House","Republican","OH","S001187"
"Renacci, Rep. Jim","House","Republican","OH","R000586"
"Lankford, Rep. James","House","Republican","OK","L000575"
"Kelly, Rep. Mike","House","Republican","PA","K000376"
"Meehan, Rep. Pat","House","Republican","PA","M001181"
"Marino, Rep. Thomas Anthony","House","Republican","PA","M001179"
"Barletta, Rep. Lou","House","Republican","PA","B001269"
"Scott, Rep. Tim","House","Republican","SC","S001184"
"Mulvaney, Rep. Mick","House","Republican","SC","M001182"
"Noem, Rep. Kristi","House","Republican","SD","N000184"
"Rigell, Rep. Scott","House","Republican","VA","R000589"
"Hurt, Rep. Robert","House","Republican","VA","H001060"
"Griffith, Rep. Morgan","House","Republican","VA","G000568"
"Herrera Beutler, Rep. Jaime Lynn","House","Republican","WA","H001056"
"McKinley, Rep. David Bennett","House","Republican","WV","M001180"
"Ribble, Rep. Reid","House","Republican","WI","R000587"
"Blumenthal, Sen. Richard","Senate","Democrat","CT","B001277"
"Roberts, Sen. Pat","Senate","Republican","KS","R000307"
"Israel, Rep. Steve J.","House","Democrat","NY","I000057"
"Johnson, Rep. Eddie Bernice","House","Democrat","TX","J000126"
"Levin, Rep. Sandy","House","Democrat","MI","L000263"
"Lewis, Rep. Jerry","House","Republican","CA","L000274"
"Lucas, Rep. Frank D.","House","Republican","OK","L000491"
"Lynch, Rep. Stephen F.","House","Democrat","MA","L000562"
"Miller, Rep. Candice","House","Republican","MI","M001150"
"Miller, Rep. Gary","House","Republican","CA","M001139"
"Rubio, Sen. Marco","Senate","Republican","FL","R000595"
"Paul, Sen. Rand","Senate","Republican","KY","P000603"
